done|do
primped|primp
procrastinated|procrastinate
procreated|procreate
profited|profit
profiteered|profiteer
progressed|progress
proliferated|proliferate
propagandized|propagandize
proselytized|proselytize
prospered|prosper
protruded|protrude
pub-crawled|pub-crawl
pulsated|pulsate
pulsed|pulse
punned|pun
purred|purr
pussyfooted|pussyfoot
putrefied|putrefy
puttered|putter
quacked|quack
quaked|quake
quarreled|quarrel
quarried|quarry
quavered|quaver
quested|quest
queued|queue
quibbled|quibble
quipped|quip
quivered|quiver
racketed|racket
rafted|raft
raged|rage
railed|rail
rained|rain
rambled|ramble
rampaged|rampage
ranged|range
rankled|rankle
ranted|rant
rasped|rasp
ratted|rat
raved|rave
re-echoed|re-echo
reacted|react
reappeared|reappear
rebelled|rebel
rebounded|rebound
receded|recede
reclined|recline
recoiled|recoil
reconnoitred|reconnoitre
reconverted|reconvert
recriminated|recriminate
recuperated|recuperate
recurred|recur
redounded|redound
refrained|refrain
regressed|regress
reigned|reign
rejoiced|rejoice
relapsed|relapse
relented|relent
relied|rely
reminisced|reminisce
remonstrated|remonstrate
rendezvoused|rendezvous
reneged|renege
resided|reside
resigned|resign
resonated|resonate
resorted|resort
resounded|resound
rested|rest
resulted|result
resurfaced|resurface
retaliated|retaliate
retched|retch
retreated|retreat
retrenched|retrench
retrograded|retrograde
retrogressed|retrogress
revelled|revel
reverberated|reverberate
reverted|revert
revolted|revolt
revolved|revolve
rhapsodized|rhapsodize
rioted|riot
ripened|ripen
riposted|riposte
rippled|ripple
rocketed|rocket
romanced|romance
romped|romp
roomed|room
roosted|roost
rough-housed|rough-house
roved|rove
rumbled|rumble
ruminated|ruminate
rummaged|rummage
rusted|rust
sagged|sag
salivated|salivate
sauntered|saunter
scampered|scamper
scavenged|scavenge
schemed|scheme
scintillated|scintillate
scowled|scowl
scrammed|scram
screeched|screech
scrimped|scrimp
scrounged|scrounge
scuffled|scuffle
seceded|secede
seesawed|seesaw
seethed|seethe
sermonized|sermonize
shillyshallied|shillyshally
shimmered|shimmer
shitted|shit
shivered|shiver
shrimped|shrimp
shuddered|shudder
sided|side
sidled|sidle
simmered|simmer
simpered|simper
sinned|sin
sizzled|sizzle
skated|skate
skedaddled|skedaddle
skimped|skimp
skirmished|skirmish
skulked|skulk
skylarked|skylark
skyrocketed|skyrocket
slackened|slacken
slavered|slaver
slept|sleep
sleeted|sleet
slithered|slither
slobbered|slobber
slogged|slog
slouched|slouch
slummed|slum
slumbered|slumber
smarted|smart
smiled|smile
smirked|smirk
smouldered|smoulder
snaked|snake
sneered|sneer
sneezed|sneeze
snickered|snicker
sniffled|sniffle
sniggered|snigger
sniped|snipe
snitched|snitch
snivelled|snivel
snooped|snoop
snoozed|snooze
snored|snore
snowed|snow
snowballed|snowball
snuffled|snuffle
sobbed|sob
sojourned|sojourn
soliloquized|soliloquize
somersaulted|somersault
soured|sour
sparred|spar
sparkled|sparkle
specialized|specialize
speechified|speechify
spiralled|spiral
splurged|splurge
spluttered|splutter
sprawled|sprawl
sprinted|sprint
sputtered|sputter
squabbled|squabble
squalled|squall
squawked|squawk
squeaked|squeak
squealed|squeal
squinted|squint
squirmed|squirm
stagnated|stagnate
stemmed|stem
straggled|straggle
strayed|stray
strived|strive
struggled|struggle
stuttered|stutter
subbed|sub
subscribed|subscribe
subsided|subside
subsisted|subsist
succumbed|succumb
sulked|sulk
summered|summer
sunbathed|sunbathe
supped|sup
supervened|supervene
surfaced|surface
surged|surge
swaggered|swagger
swarmed|swarm
sweltered|swelter
swerved|swerve
swirled|swirl
swooned|swoon
sympathized|sympathize
tampered|tamper
tarried|tarry
tattled|tattle
taxied|taxi
teemed|teem
teetered|teeter
teethed|teethe
temporized|temporize
thrived|thrive
throbbed|throb
thudded|thud
tingled|tingle
tinkered|tinker
tinkled|tinkle
tiptoed|tiptoe
tittered|titter
tittle-tattled|tittle-tattle
toadied|toady
tobogganed|toboggan
toiled|toil
tolled|toll
tootled|tootle
tonned|ton
tottered|totter
touch-typed|touch-type
towered|tower
toyed|toy
traipsed|traipse
transpired|transpire
traveled|travel
travelled|travel
trekked|trek
trembled|tremble
trespassed|trespass
trifled|trifle
triumphed|triumph
trundled|trundle
tunnelled|tunnel
tussled|tussle
tweeted|tweet
twinkled|twinkle
twitched|twitch
twittered|twitter
ululated|ululate
underacted|underact
undulated|undulate
urinated|urinate
vacationed|vacation
vacillated|vacillate
vamoosed|vamoose
vamped|vamp
vanished|vanish
vaulted|vault
vegetated|vegetate
verged|verge
vied|vie
vouched|vouch
voyaged|voyage
waddled|waddle
waffled|waffle
wallowed|wallow
waltzed|waltz
wandered|wander
waned|wane
wanked|wank
warbled|warble
wavered|waver
wept|weep
welshed|welsh
weltered|welter
wheezed|wheeze
whimpered|whimper
whinnied|whinny
whirred|whir
whirred|whirr
wilted|wilt
winced|wince
winked|wink
wiretapped|wiretap
wisecracked|wisecrack
withered|wither
wobbled|wobble
womanized|womanize
wrangled|wrangle
wriggled|wriggle
writhed|writhe
yachted|yacht
yammered|yammer
yapped|yap
yawned|yawn
yearned|yearn
yelped|yelp
yenned|yen
zigzagged|zigzag
abdicated|abdicate
abided|abide
aborted|abort
accelerated|accelerate
acclimateed|acclimate
acclimatized|acclimatize
accumulated|accumulate
acidified|acidify
adapted|adapt
adjourned|adjourn
adjudicated|adjudicate
adjusted|adjust
advanced|advance
advertised|advertise
affiliated|affiliate
aged|age
aggregated|aggregate
agitateed|agitate
ailed|ail
aligned|align
altered|alter
alternated|alternate
amalgamated|amalgamate
anchored|anchor
angled|angle
appealed|appeal
applauded|applaud
applied|apply
approached|approach
approximated|approximate
arbitrated|arbitrate
arched|arch
articulated|articulate
ascended|ascend
assembled|assemble
assimilated|assimilate
assisted|assist
associated|associate
attended|attend
auditioned|audition
augured|augur
availed|avail
awakened|awaken
bagged|bag
banded|band
banked|bank
bargained|bargain
bartered|barter
batted|bat
bathed|bath
bathed|bathe
baulked|baulk
beckoned|beckon
benefited|benefit
berthed|berth
bifurcated|bifurcate
blabbed|blab
blackened|blacken
blanched|blanch
blasphemeed|blaspheme
bleached|bleach
blended|blend
blinked|blink
blistered|blister
bluffed|bluff
blurred|blur
boggled|boggle
bonded|bond
boned|bone
booed|boo
bordered|border
borrowed|borrow
breastfed|breastfeed
bred|breed
brewed|brew
bridled|bridle
broadcasted|broadcast
broadened|broaden
broiled|broil
browned|brown
budged|budge
buffeted|buffet
buggered|bugger
bullied|bully
burgled|burgle
burnished|burnish
burrowed|burrow
cabled|cable
calcified|calcify
canceled|cancel
cancelled|cancel
canvassed|canvass
capitalized|capitalize
capsized|capsize
carped|carp
celebrated|celebrate
centered|center
centred|centre
chanted|chant
charred|char
circled|circle
circulated|circulate
clanged|clang
clapped|clap
clasped|clasp
cleaved|cleave
clinched|clinch
clinked|clink
clotted|clot
cloyed|cloy
clutched|clutch
co-starred|co-star
coached|coach
coagulated|coagulate
coaxed|coax
cogitated|cogitate
collapsed|collapse
combined|combine
commenced|commence
commingled|commingle
communicated|communicate
commuted|commute
compared|compare
compensated|compensate
composed|compose
computed|compute
concentrated|concentrate
condensed|condense
conducted|conduct
confederated|confederate
conferred|confer
confided|confide
conjoined|conjoin
conjugated|conjugate
consolidated|consolidate
consulted|consult
contested|contest
contrasted|contrast
contributed|contribute
convened|convene
converted|convert
correlated|correlate
corroded|corrode
corrupted|corrupt
couched|couch
counterattacked|counterattack
crashed|crash
crash-landed|crash-land
craved|crave
creased|crease
cribbed|crib
crinkled|crinkle
crisscrossed|crisscross
crocheted|crochet
crooned|croon
crosschecked|crosscheck
crystallized|crystallize
cuddled|cuddle
curdled|curdle
cursed|curse
curved|curve
dabbed|dab
damped|damp
dangled|dangle
darkened|darken
darned|darn
dated|date
debarked|debark
debated|debate
decelerated|decelerate
decomposed|decompose
decreased|decrease
deepened|deepen
deflected|deflect
delayed|delay
delighted|delight
democratized|democratize
derailed|derail
derived|derive
derogated|derogate
descended|descend
detonated|detonate
developed|develop
dictated|dictate
differentiated|differentiate
diffused|diffuse
digested|digest
dilated|dilate
dimmed|dim
diminished|diminish
dinned|din
dipped|dip
disarmed|disarm
disbanded|disband
discharged|discharge
discontinued|discontinue
disengaged|disengage
disentangled|disentangle
dismounted|dismount
dispensed|dispense
dispersed|disperse
dissipated|dissipate
dissolved|dissolve
distended|distend
distinguished|distinguish
dive-bombed|dive-bomb
diversified|diversify
divined|divine
docked|dock
dodged|dodge
dreaded|dread
dribbled|dribble
drilled|drill
dripped|drip
drooped|droop
dulled|dull
echoed|echo
ejaculated|ejaculate
ejected|eject
elaborated|elaborate
elongated|elongate
embroidered|embroider
ended|end
endured|endure
engaged|engage
enlisted|enlist
enroled|enrol
enrolled|enroll
entered|enter
entertained|entertain
enunciated|enunciate
eroded|erode
escalated|escalate
escaped|escape
etched|etch
evacuated|evacuate
evolved|evolve
exaggerated|exaggerate
exercised|exercise
exhaled|exhale
expanded|expand
exploded|explode
explored|explore
expounded|expound
extemporized|extemporize
extended|extend
extrapolated|extrapolate
fastened|fasten
feasted|feast
fermented|ferment
ferried|ferry
fiddled|fiddle
fielded|field
filmed|film
fitted|fit
fixated|fixate
flagged|flag
flapped|flap
flashed|flash
fled|flee
focused|focus
footed|foot
forborne|forbear
foreclosed|foreclose
forgiven|forgive
formed|form
foundered|founder
fractured|fracture
frayed|fray
fronted|front
frosted|frost
fuelled|fuel
fumbled|fumble
furled|furl
fused|fuse
gagged|gag
gained|gain
gambled|gamble
gargled|gargle
gasified|gasify
gasped|gasp
generalized|generalize
germinated|germinate
glanced|glance
glossed|gloss
gnashed|gnash
gnawed|gnaw
governed|govern
grasped|grasp
grated|grate
grieved|grieve
ground|grind
groaned|groan
grounded|ground
groped|grope
grouped|group
growled|growl
grumbled|grumble
grunted|grunt
hailed|hail
hardened|harden
harmonized|harmonize
hatched|hatch
heaved|heave
heckled|heckle
hedged|hedge
heightened|heighten
hemmed|hem
hoarded|hoard
hoed|hoe
honked|honk
hooted|hoot
howled|howl
hugged|hug
hummed|hum
hurt|hurt
hushed|hush
hustled|hustle
iced|ice
idled|idle
ignited|ignite
improved|improve
improvised|improvise
inclined|incline
incorporated|incorporate
increased|increase
incubated|incubate
indented|indent
indulged|indulge
industrialized|industrialize
infringed|infringe
inhaled|inhale
intensified|intensify
interbred|interbreed
interconnected|interconnect
interlocked|interlock
intermixed|intermix
interned|intern
interpreted|interpret
interrelated|interrelate
interrupted|interrupt
intersected|intersect
intertwined|intertwine
interviewed|interview
intrigued|intrigue
invested|invest
investigated|investigate
ionized|ionize
jabbed|jab
jangled|jangle
jeered|jeer
jigged|jig
jiggled|jiggle
jingled|jingle
jolted|jolt
jostled|jostle
judged|judge
juggled|juggle
kidded|kid
kindled|kindle
knitted|knit
laboured|labour
lamented|lament
landed|land
latched|latch
launched|launch
lectured|lecture
lengthened|lengthen
lessened|lessen
leveled|level
levelled|level
levitated|levitate
lighted|light
liquefied|liquefy
liquidated|liquidate
litigated|litigate
littered|litter
lobbied|lobby
located|locate
lodged|lodge
looped|loop
lunched|lunch
maneuvered|maneuver
manoeuvred|manoeuvre
marinated|marinate
massed|mass
masturbated|masturbate
mated|mate
mediated|mediate
met|meet
mended|mend
merged|merge
meshed|mesh
milled|mill
mimed|mime
mined|mine
miscalculated|miscalculate
miscarried|miscarry
miscounted|miscount
misdealt|misdeal
misjudged|misjudge
misted|mist
misunderstood|misunderstand
moaned|moan
mobilized|mobilize
modeled|model
modelled|model
moderated|moderate
modernized|modernize
moistened|moisten
mooned|moon
moulded|mould
moulted|moult
mounted|mount
mourned|mourn
mowed|mow
muddled|muddle
multiplied|multiply
mumbled|mumble
munched|munch
murmured|murmur
narrowed|narrow
navigated|navigate
neared|near
negotiated|negotiate
nibbled|nibble
nipped|nip
nuzzled|nuzzle
obeyed|obey
obsessed|obsess
ogled|ogle
operated|operate
orbited|orbit
originated|originate
ossified|ossify
overcharged|overcharge
overdrawn|overdraw
overdressed|overdress
overfed|overfeed
overflowed|overflow
overheated|overheat
overindulged|overindulge
overlapped|overlap
overproduced|overproduce
overreached|overreach
overspent|overspend
overtrumped|overtrump
overturned|overturn
overworked|overwork
oxidized|oxidize
paced|pace
paddled|paddle
painted|paint
paraded|parade
parked|park
parted|part
pealed|peal
pecked|peck
pedalled|pedal
peddled|peddle
penetrated|penetrate
perched|perch
performed|perform
petitioned|petition
petrified|petrify
picketed|picket
pillaged|pillage
pioneered|pioneer
pitched|pitch
plundered|plunder
poached|poach
poised|poise
polled|poll
posed|pose
practised|practise
preached|preach
privatized|privatize
programed|program
programmed|programme
projected|project
promenaded|promenade
proofread|proofread
propagated|propagate
prowled|prowl
puked|puke
punctured|puncture
punted|punt
putted|putt
puzzled|puzzle
qualified|qualify
quickened|quicken
quietened|quieten
raced|race
radiated|radiate
radioed|radio
rallied|rally
ramified|ramify
ranked|rank
rapped|rap
rated|rate
rattled|rattle
ravelled|ravel
re-formed|re-form
re-opened|re-open
readjusted|readjust
reared|rear
rearmed|rearm
reassembled|reassemble
rebuilt|rebuild
recanted|recant
recapped|recap
recapitulated|recapitulate
received|receive
reciprocated|reciprocate
reconvened|reconvene
